Fingerprint,Accuracy,Precision,Recall,F1 Score,AUC-ROC,MCC,Best Params
MACCS,0.88,0.8831168831168831,0.9577464788732394,0.918918918918919,0.9528897523069452,0.6980599077179499,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
ECFP4,0.88,0.8831168831168831,0.9577464788732394,0.918918918918919,0.953861097620204,0.6980599077179499,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
PubchemFP,0.92,0.9436619718309859,0.9436619718309859,0.9436619718309859,0.9689169499757164,0.8057309373482273,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
RDKitFP,0.91,0.9428571428571428,0.9295774647887324,0.9361702127659575,0.9548324429334629,0.7838803605867954,"{'bootstrap': True, 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Descriptor,0.8526315789473684,0.8955223880597015,0.8955223880597015,0.8955223880597015,0.8784648187633262,0.6455223880597015,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
