Fingerprint,Accuracy,Precision,Recall,F1 Score,AUC-ROC,MCC,Best Params
MACCS,0.82,0.8271604938271605,0.9436619718309859,0.8815789473684211,0.9533754249635746,0.5331123325208768,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
ECFP4,0.85,0.8333333333333334,0.9859154929577465,0.9032258064516129,0.950461389023798,0.6227761146993251,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
PubchemFP,0.88,0.8831168831168831,0.9577464788732394,0.918918918918919,0.9732880038853812,0.6980599077179499,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
RDKitFP,0.86,0.8607594936708861,0.9577464788732394,0.9066666666666667,0.9567751335599806,0.6444072163057983,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
Descriptor,0.7894736842105263,0.8405797101449275,0.8656716417910447,0.8529411764705882,0.8150319829424307,0.4834994489582224,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
