Fingerprint,Accuracy,Precision,Recall,F1 Score,AUC-ROC,MCC,Best Params
MACCS,0.9,0.9552238805970149,0.9014084507042254,0.927536231884058,0.9473045167557067,0.7700430736410947,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
ECFP4,0.9,0.9692307692307692,0.8873239436619719,0.9264705882352942,0.9473045167557066,0.7785401804246789,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
PubchemFP,0.9,0.9420289855072463,0.9154929577464789,0.9285714285714286,0.953861097620204,0.7628826997813144,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
RDKitFP,0.86,0.9253731343283582,0.8732394366197183,0.8985507246376812,0.9089363768819816,0.6763068504346316,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
Descriptor,0.8421052631578947,0.90625,0.8656716417910447,0.8854961832061069,0.841684434968017,0.633408599035738,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
