Fingerprint,Accuracy,Precision,Recall,F1 Score,AUC-ROC,MCC,Best Params
MACCS,0.9,0.9295774647887324,0.9295774647887324,0.9295774647887324,0.9368625546381738,0.7571636716852841,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}"
ECFP4,0.84,0.8985507246376812,0.8732394366197183,0.8857142857142857,0.9363768819815443,0.6199315380484011,"{'learning_rate': 0.1, 'n_estimators': 120, 'num_leaves': 15}"
PubchemFP,0.89,0.9411764705882353,0.9014084507042254,0.920863309352518,0.9713453132588634,0.7426683615010803,"{'learning_rate': 0.1, 'n_estimators': 500, 'num_leaves': 25}"
RDKitFP,0.88,0.9538461538461539,0.8732394366197183,0.9117647058823529,0.9553181155900923,0.7323360154143121,"{'learning_rate': 0.1, 'n_estimators': 120, 'num_leaves': 20}"
Descriptor,0.8105263157894737,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8747334754797442,0.5442430703624733,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 25}"
